processed_text,label
spoke uncl john today strongli feel need sacrific keep go call beg listen dont make promis make clear thing easi need pleas let us work thing long keep expect help creativ stifl pl keep happi promis part,0
competit,0
go thru differ feelingwav decis cope individualtim heal everyth believ,0
fine hope good take care,0
privat 2003 account statement fone show 800 unredeem point call 08715203656 identifi code 42049 expir 261004,1
tund wish great day abiola,0
nvm ok,0
22 146tf150p,1
queen go royal wed,0
k fyi back parent place south tampa might need deal somewher els,0
hey morn come ask pa,0
sound like someth someon test would sayi,0
yo gon na still stock tomorrowtoday tri get dubsack,0
pick receipt someth earlier,0
ok lor soni ericsson salesman ask shuhui say quit gd 2 use consid,0
call tell infront call,0
congratul ur award 500 cd voucher 125gift guarante free entri 2 100 wkli draw txt music 87066,1
buy space invad 4 chanc 2 win orig arcad game consol press 0 game arcad std wap charg see o2coukgam 4 term set purchas,1
weather,0
okey dokey swashbuckl stuff oh,0
ur award citi break could win 200 summer shop spree everi wk txt store 88039 skilgm tscs087147403231winawk age16 150perwksub,1
hey sexi bun day word morn ym think,0
ye babi studi posit kama sutra,0
worri sure get,0
send new number,0
accordingli repeat text word ok mobil phone send,1
urgent mobil 07808726822 award 2000 bonu caller prize 020903 2nd attempt contact call 08718729758 box95qu,1
sorri brah finish last exam,0
good afternoon love goe day sleep hope well boytoy think,0
say hi get ass back south tampa prefer kegger,0
ok dear call chechi,0
ye know cheesi song frosti snowman,0
mean got epi she fine she,0
u goin 2nite,0
joy father john john joy father u an th hav lt gt iq ti ia question tri answer,0
say give call friend got money definit buy end week,0
reach ard 20 min ok,0
u konw waht rael friendship im gving yuo exmpel jsut ese tih msg evrey splle tih msg wrnog bt sitll yuo ra wihtuot ayn mitsak goodnight amp nice sleep sweet dream,0
forgot take 3 year shower sorri atyour phone dead yet,0
arriv see coupl day lt 3,0
gam gone outstand inning,0
seen back holbi,0
urgent mobil number award 2000 bonu caller prize call 09058095201 land line valid 12hr,1
get readi put excel sub face,0
dont know exactli could ask chechi,0
2 student solv cat question xam 532 lt gt 924 lt gt 863 lt gt 725 tell answer u r brilliant 1thingi got answr,0
happi birthday may ur dream come true,0
peopl mu tabl lambda,0
pl send compani name saibaba colani,0
aight head,0
think u wrong number,0
sorri chikku cell got problem tht nt abl repli u msg u,0
hi hun im comin 2nitetel every1 im sorri 4 hope u ava goodtim oli rang melnit ifink mite b sort il explain everythin monl8rsx,0
yeah probabl earlier,0
great hear settl well happenin wit ola,0
thank honey still nt heard anyth leav bit longer 2 crowd tri later great advic thank hope cardiff still,0
burger king wan na play footi top stadium get 2 burger king 1st sept go larg super cocacola walk winner,1
pick variou point go 2 yeovil motor project 4 3 hour u take home 12 2 530 max easi,0
hope piss rememb gone sister someth,0
like spoil,0
take away money worri,0
make babi yo tho,0
hey guy know breath neck get bud anyway abl get half track usf tonight,0
free ring tone text poli 87131 everi week get new tone 0870737910216yr 150wk,1
respond,0
eastend tv quiz flower dot compar violet e tulip f lili txt e f 84025 4 chanc 2 win 100 cash wkent150p16,1
oh fuck juswok bed boatin dock slept wid 25 year old spinout giv u da gossip l8r xxx,0
mm feel sleepi today shall get dear,0
hear loud scream lt gt minut caus gyno shove thing nt belong,0
want new video handset 750 anytim network min half price line rental camcord repli call 08000930705 deliveri tomorrow,1
think disturb da,0
love want flood pretti pussi cum,0
mobil 10 mth updat latest cameravideo phone free keep ur number get extra free minstext text ye call,1
got thing may pub later,0
right wasnt phone someon number like,0
want insid everi night,0
woke yeesh late nt fall asleep til lt gt,0
check error difficulti correct,0
attend noth,0
juz go googl n search 4 qet,0
st andr virgil cream,0
hey rite u put 10 evey mnth,0
captain vijaykanth comedi captain tv drunken,0
yeah impress got,0
free entri 250 weekli competit text word win 80086 18 c wwwtxttowincouk,1
turn stereo love mi phone unknown album,0
oh usual vijay film differ,0
urgent mobil number award ukp 2000 prize guarante call 09061790125 landlin claim 3030 valid 12hr 150ppm,1
lift hope offer money need especi end month approach hurt studi anyway gr8 weekend,0
jay say put lt gt,0
last chanc 2 claim ur 150 worth discount voucherstext ye 85023 savamobmemb offer mobil cs 08717898035 300 sub 16 remov txt x stop,1
dont want hear anyth,0
dun need use dial juz open da browser n surf,0
know week go tirunelvai da,0
hottest pic straight phone see get wet want xx text pic 89555 txt cost 150p textoper g696ga 18 xxx,1
v fan,0
thank rington order refer number x29 mobil charg 450 tone arriv pleas call custom servic 09065989180,1
